City Parish,Total,25 - 29 anos,30 - 34 anos,35 - 39 anos,40 - 44 anos,45 - 49 anos,50 - 54 anos,55 - 59 anos,60 - 64 anos,65 - 69 anos,70 - 74 anos,75 ou mais anos,sex,year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
União das freguesias de Laranjeiro e Feijó,50.42,71.87,79.75,80.31,81.64,80.99,79.14,66.29,46.17,16.17,5.14,1.71,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcabideche,51.71,62.13,71.91,80.36,83.20,80.83,79.13,71.07,53.04,24.62,8.56,3.22,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Domingos de Rana,55.50,73.56,80.93,85.61,86.82,86.55,81.70,74.87,53.28,21.05,5.61,2.23,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
União das freguesias de Carcavelos e Parede,52.24,72.85,83.05,83.62,84.08,84.41,80.90,75.63,54.82,26.17,8.19,3.15,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
União das freguesias de Cascais e Estoril,49.81,68.75,78.88,80.15,80.75,79.52,77.58,71.97,55.14,27.73,11.63,5.15,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajuda,47.95,69.80,83.26,76.66,78.71,72.97,72.35,65.87,45.19,17.57,4,1.79,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcântara,54.20,77.01,81.84,83.18,77.46,78.63,73.10,71.94,50.34,23.36,8.86,3.50,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvalade,56.28,77.37,86.29,86.24,86.49,86.82,81.88,73.48,53.32,29.97,14.45,4.85,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Areeiro,55.93,77.10,80.48,82.17,85.13,85.87,80.66,72.74,62.93,32.82,13.14,5.78,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arroios,59.52,73.87,79.28,79.54,79.62,79.47,74.84,68.09,56.08,27.37,9.95,4.05,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avenidas Novas,58.20,76.97,85.68,86.15,85.77,85.34,82.37,75.89,65.18,37.19,18.18,6.01,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beato,49.68,73.03,75.76,79.49,78.10,71.46,71.22,61.26,45.32,19.16,6.29,2.54,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belém,53.82,76.45,85.89,86.32,84.39,87.63,83.53,79.88,65.73,36.48,15.90,5.22,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benfica,49.89,73.95,80.27,82.71,82.37,80.48,76.25,72.16,53.88,22.04,7.31,3.28,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campo de Ourique,55.23,76.71,81.87,85.33,82.42,83.71,80.14,72.42,54.89,27.35,12.12,5.73,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campolide,53.07,73.75,78.77,77.53,78.32,78.86,72.84,64.45,51,22.25,11.84,2.89,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnide,51,69.23,77.87,79.30,77.06,83.03,79.83,72.38,54.94,26.25,8.75,2.33,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estrela,58.53,78.06,83.72,84.64,83.46,83.55,77.92,76.15,59.55,32.76,16.50,5.09,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lumiar,57.18,75.21,84.41,86.25,87.13,87.38,82.89,78.59,64,34.18,14.72,4.70,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvila,45.81,64.81,72.04,74.29,72.80,74.15,68.63,62.60,42.78,14.48,3.40,1.13,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misericórdia,55.28,75.06,78.03,77.25,75.12,78,71.55,63.27,50.69,27.20,13.88,4.10,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
